Batch Size,Filter Size,Filters count 1,Filters count 2,Filters count 3,Epochs,Learning Rate,Weight Decay,Pooling Size,Number of FC,Loss Function,Optimizer,Train Accuracy,Test Max Accuracy,Test Accuracy,Parameters,Comment,Net Name
4,5,,,,2,0.001,0,2,2,CrossEntropyLoss,Adam,0,,55.14,43000,,
4,5,,,,2,0.001,0,2,2,CrossEntropyLoss,Adam,0,,55.14,43000,,
4,5,,,,2,0.001,0,2,2,CrossEntropyLoss,Adam,0,,55.14,43000,,
4,5,,,,2,0.001,0,2,2,CrossEntropyLoss,Adam,0.184723139,,53.99,43000,,
4,5,,,,2,0.001,0,2,2,CrossEntropyLoss,Adam,Not Trained,,53.99,43000,,
4,5,,,,2,0.001,0,2,2,CrossEntropyLoss,Adam,Not Trained,,53.99,43000,,
4,5,,,,2,0.001,0,2,2,CrossEntropyLoss,Adam,Not Trained,,53.99,43000,fc128,
4,7,,,,2,0.001,0,2,2,CrossEntropyLoss,Adam,-0.792158723,,48.2,24392,fc128,
4,3,,,,2,0.001,0,2,2,CrossEntropyLoss,Adam,0.271914899,,57.33,55832,fc128,
4,3,,,,2,0.001,0,2,2,CrossEntropyLoss,Adam,-0.345263481,,50.61,18194,Deeper Network,
4,3,,,,2,0.001,0,2,2,CrossEntropyLoss,Adam,0.359253466,,50.34,18194,Deeper Network,
4,3,,,,2,0.001,0,2,2,CrossEntropyLoss,Adam,-0.476853848,,50.18,18194,Deeper Network,
4,5,,,,2,0.0007,0,2,2,CrossEntropyLoss,Adam,0.192301631,,54.71,193714,Deeper Network,
4,5,,,,2,0.0007,0,2,2,CrossEntropyLoss,Adam,-0.06394279,,53.61,43186,Deeper Network With 3 layers,
4,5,,,,2,0.0007,0,2,2,CrossEntropyLoss,Adam,-0.007824779,,53.57,43186,Deeper Network With 3 layers,
4,5,,,,2,0.0007,0,2,2,CrossEntropyLoss,Adam,Not Trained,,53.57,43186,Deeper Network With 3 layers,
4,5,,,,2,0.0007,0,2,2,CrossEntropyLoss,Adam,0.39097476,,51.05,43186,Deeper Network With 3 layers OPT,
4,5,,,,2,0.0007,0,2,2,CrossEntropyLoss,Adam,Not Trained,,51.05,43186,Deeper Network With 3 layers OPT,
4,5,,,,2,0.0007,0,2,2,CrossEntropyLoss,Adam,0.531885177,,52.43,43186,Different pools,
4,5,,,,2,0.0007,0,2,2,CrossEntropyLoss,Adam,-0.085546374,,55.43,43186,Different pools,
4,5,,,,2,0.0007,0,2,2,CrossEntropyLoss,Adam,Not Trained,,55.43,43186,Different pools,
4,5,,,,2,0.0007,0,2,2,CrossEntropyLoss,Adam,-0.252461367,,56.17,43186,Different pools,
4,5,,,,1,0.0007,0,2,2,CrossEntropyLoss,Adam,-0.462806981,,48,43186,Different pools,
8,5,29,16,,10,0.001,0,2,2,CrossEntropyLoss,SGD,0.703761803,,,72954,,
8,5,29,16,,10,0.001,0,2,2,CrossEntropyLoss,SGD,Not Trained,,,72954,,
8,5,29,1,,10,0.001,0,2,2,CrossEntropyLoss,SGD,1.503599812,,,17064,D29 filters,
8,5,29,2,,10,0.001,0,2,2,CrossEntropyLoss,SGD,1.276039754,,,20790,D29 filters,
8,5,29,3,,10,0.001,0,2,2,CrossEntropyLoss,SGD,1.157181809,,,24516,D29 filters,
8,5,29,4,,10,0.001,0,2,2,CrossEntropyLoss,SGD,1.061426413,,,28242,D29 filters,
8,5,29,5,,10,0.001,0,2,2,CrossEntropyLoss,SGD,0.989082107,,,31968,D29 filters,
8,5,29,6,,10,0.001,0,2,2,CrossEntropyLoss,SGD,0.931396683,,,35694,D29 filters,
8,5,29,7,,10,0.001,0,2,2,CrossEntropyLoss,SGD,0.90529349,,,39420,D29 filters,
8,5,29,8,,10,0.001,0,2,2,CrossEntropyLoss,SGD,0.839472012,,,43146,D29 filters,
8,5,29,9,,10,0.001,0,2,2,CrossEntropyLoss,SGD,0.836051781,,,46872,D29 filters,
8,5,29,10,,10,0.001,0,2,2,CrossEntropyLoss,SGD,0.833059408,,,50598,D29 filters,
8,5,29,11,,10,0.001,0,2,2,CrossEntropyLoss,SGD,0.817379727,,,54324,D29 filters,
8,5,29,12,,10,0.001,0,2,2,CrossEntropyLoss,SGD,0.744694017,,,58050,D29 filters,
8,5,29,13,,10,0.001,0,2,2,CrossEntropyLoss,SGD,0.75225252,,,61776,D29 filters,
8,5,29,14,,10,0.001,0,2,2,CrossEntropyLoss,SGD,0.756952346,,,65502,D29 filters,
8,5,29,15,,10,0.001,0,2,2,CrossEntropyLoss,SGD,0.705914096,,,69228,D29 filters,
8,5,29,16,,10,0.001,0,2,2,CrossEntropyLoss,SGD,0.711804975,,,72954,D29 filters,
